CREATION_DATE,REGNO,FLT_NUM,STNFR,STNTO,AHRS,ACYC,N1EGTA,N1GLA,N1WB,N1PT,N1P2A,N1LCOT,N1LCIT,N1IGV,N1SCV,N1LOT,N1HOT,V1STA,V1EGTP,V1NPA,V1LOT,V1LCIT
2023-01-05 12:23,HL7553,KE2102,HND,GMP,38712,30388,527,56,823,54.4,13.9,179,22,17,60,107,86,45,563,49,33,11
2023-01-05 13:30,HL7585,KE0186,TPE,ICN,36861,27291,532,63,826,53,13.9,179,13,17,63,109,87,46,612,46,31,15
2023-01-05 13:49,HL7720,KE0132,CGO,ICN,48563,36161,514,44,831,55.5,13.7,170,8,17,66,109,91,44,572,39,24,5
2023-01-05 18:14,HL7586,KE0667,ICN,CNX,23233,15393,519,74,830,58.3,14.2,164,9,17,58,108,88,43,632,46,24,2
2023-01-05 20:34,HL7524,KE1310,CJU,GMP,46895,35973,504,39,824,55.8,14,173,18,17,63,104,84,45,563,49,55,18
2023-01-06 0:42,HL7701,KE0664,HKT,ICN,32669,27822,571,48,819,51.5,13.8,186,28,18,51,119,100,51,732,46,86,37
2023-01-06 1:03,HL7587,KE0672,KUL,ICN,38595,30584,574,45,818,51.9,13.8,185,27,18,64,114,95,47,678,44,22,17
2023-01-06 2:44,HL7709,KE0690,PNH,ICN,49386,38068,547,48,817,53.2,13.9,189,29,18,64,121,97,55,657,40,81,42
2023-01-06 8:28,HL7585,KE0171,ICN,HKG,36867,27294,487,56,829,57.8,14.1,159,13,17,63,106,86,47,562,39,16,15
2023-01-06 10:43,HL7553,KE1174,CJU,GMP,38723,30394,519,39,822,54.3,14,179,23,17,60,106,86,47,572,48,53,19
2023-01-06 12:36,HL7540,KE2102,HND,GMP,46632,34008,534,67,829,54.9,14,166,9,17,63,113,93,45,590,45,39,7
2023-01-06 14:10,HL7584,KE0828,SZX,ICN,45543,36114,555,38,822,53.1,14,182,25,17,63,110,92,46,670,44,17,10
2023-01-06 14:16,HL7586,KE0622,MNL,ICN,23239,15396,579,72,816,53,13.9,189,33,18,58,118,99,48,694,44,24,18
2023-01-06 14:46,HL7554,KE0138,WUH,ICN,22703,15601,525,41,824,55.2,14.3,176,20,17,62,106,85,44,606,45,23,6
2023-01-06 18:26,HL7709,KE0667,ICN,CNX,49392,38071,514,76,828,56.9,13.9,172,10,17,64,115,87,46,550,48,32,6
2023-01-07 2:11,HL7587,KE0476,SGN,ICN,38600,30587,576,48,819,52.2,13.8,187,28,18,64,115,95,47,659,45,29,17
2023-01-07 10:39,HL7553,KE1174,CJU,GMP,38736,30403,520,42,824,54.6,13.9,178,21,17,60,106,86,46,578,48,59,18
2023-01-07 12:32,HL7540,KE2102,HND,GMP,46641,34014,532,52,827,54.4,13.9,168,12,17,63,112,93,44,605,45,35,8
2023-01-07 13:25,HL7720,KE0186,TPE,ICN,48575,36170,549,72,824,53.6,13.6,183,20,17,66,114,94,45,593,46,30,11
2023-01-07 13:53,HL7584,KE0622,MNL,ICN,45553,36121,583,58,816,51,13.8,189,32,18,63,122,102,48,699,43,18,15
2023-01-07 14:05,HL7585,KE0704,NRT,ICN,36876,27301,508,62,829,54.8,13.8,170,12,17,63,109,89,46,581,47,34,14
2023-01-07 16:47,HL7587,KE0671,ICN,KUL,38605,30590,524,47,829,56.5,13.9,166,5,17,64,108,90,43,591,46,35,6
2023-01-07 17:53,HL7709,KE0458,DAD,ICN,49397,38075,544,66,819,54.4,13.9,186,24,17,64,120,95,50,625,45,21,15
2023-01-07 19:45,HL7553,KE1310,CJU,GMP,38741,30407,518,44,824,54.5,13.9,177,21,17,60,106,86,46,575,48,57,19
2023-01-08 0:59,HL7524,KE0664,HKT,ICN,46907,35984,543,45,815,51.9,13.9,188,35,18,63,114,94,52,636,41,74,40
2023-01-08 1:51,HL7720,KE0476,SGN,ICN,48580,36172,547,45,820,52.9,13.6,186,25,17,66,115,97,46,630,45,18,12
2023-01-08 2:34,HL7586,KE0690,PNH,ICN,23247,15406,552,43,817,53.7,13.9,184,30,18,58,112,93,52,706,46,73,33
2023-01-08 10:45,HL7553,KE1174,CJU,GMP,38750,30411,519,40,823,54.2,14,179,22,17,60,106,86,47,579,48,55,20
2023-01-08 11:55,HL7584,KE0648,SIN,ICN,45559,36125,583,48,817,51,13.9,188,32,18,63,119,100,58,716,45,73,40
2023-01-08 12:25,HL7540,KE2102,HND,GMP,46654,34019,537,62,830,54.5,14,169,12,17,63,115,95,44,606,45,34,7
2023-01-08 13:24,HL7587,KE0186,TPE,ICN,38610,30593,565,44,821,52.8,13.9,185,25,17,64,112,92,46,642,45,32,16
2023-01-08 13:55,HL7701,KE0172,HKG,ICN,32688,27835,566,62,824,53.3,13.9,182,22,17,51,116,95,47,656,44,33,23
2023-01-08 14:08,HL7709,KE0622,MNL,ICN,49403,38078,562,65,815,52.8,13.9,193,32,18,64,128,103,51,637,44,25,19
2023-01-09 0:33,HL7524,KE0664,HKT,ICN,46912,35989,545,44,815,52,13.9,189,35,18,63,115,95,53,640,41,78,41
2023-01-09 2:35,HL7586,KE0690,PNH,ICN,23253,15412,560,44,816,53.3,13.9,186,32,18,58,113,94,52,707,45,72,35
2023-01-09 9:08,HL7585,KE0704,NRT,ICN,36884,27306,506,69,827,56.5,14.1,165,13,17,63,109,88,45,598,46,28,15
2023-01-09 10:39,HL7553,KE1174,CJU,GMP,38762,30419,526,40,818,53.4,13.9,183,28,18,60,109,88,48,587,47,59,23
2023-01-09 11:19,HL7587,KE0457,ICN,DAD,38616,30596,541,75,830,56.6,13.9,167,6,17,64,113,91,43,644,45,15,0
2023-01-09 13:50,HL7710,KE0622,MNL,ICN,52643,40203,571,60,817,51.5,13.6,192,32,18,60,118,98,50,656,42,4,15
