AC_NO,AC_TYPE,AIRCRAFT_AGE,CLOSE_DATE,NR_REQUEST_DATE,NR_STATUS_CODE
HL8002,330,11,2025-06-06 11:00,2025-06-04 0:00,Closed
HL8002,330,11,2025-06-01 2:04,2025-06-01 0:00,Closed
HL8002,330,11,2025-06-01 8:34,2025-05-30 0:00,Closed
HL8025,330,10,2024-09-10 3:04,2024-09-01 0:00,Closed
HL8001,330,10,2024-08-06 5:35,2024-08-05 0:00,Closed
HL7540,330,26,2024-07-12 2:21,2024-07-10 0:00,Closed
HL8002,330,10,2024-07-02 5:30,2024-06-28 0:00,Closed
HL8001,330,9,2024-03-22 4:30,2024-03-21 0:00,Closed
