Date,Aircraft,Flight,Departure,Arrival,APU_Oil_Temperature_Max,Load_Compressor_Inlet_Temperature,,,Compensated,,,Ulaanbaatar_temp,Incheon_temp,Dubai_temp,Danang_temp
2025-07-13 9:48,HL7584,KAL1350,RKPC,RKSS,96,29,,,,,,,,,
2025-07-13 5:41,HL8002,KAL828,ZGSZ,RKSI,110,42,,,,,,,,,
2025-07-13 5:12,HL8027,KAL198,ZMCK,RKSI,103,37,,,,,,,,,
2025-07-13 5:09,HL8025,KAL497,RKSI,VIDP,98,26,,,96.8,,,,,,
2025-07-13 4:45,HL8026,KAL951,RKSI,OMDB,98,34,,,87.2,,,,,,
2025-07-13 3:33,HL7701,KAL806,ZBTJ,RKSI,104,33,,,,,,,,,
2025-07-13 2:37,HL7709,KAL1188,RKPC,RKSS,93,27,,,,,,,,,
2025-07-13 2:18,HL7553,KAL832,ZYTX,RKSI,100,38,,,,,,,,,
2025-07-13 1:35,HL7586,KAL1174,RKPC,RKSS,94,31,,,,,,,,,
2025-07-13 0:37,HL7702,KAL648,WSSS,RKSI,101,35,,,,,,,,,
2025-07-12 23:58,HL7585,KAL865,RKSI,ZGGG,95,28,,,91.4,,,,,,
2025-07-12 23:55,HL7710,KAL137,RKSI,ZHHH,99,36,,,85.8,,,,,,
2025-07-12 23:47,HL8002,KAL827,RKSI,ZGSZ,104,37,,,89.6,,,,,,
2025-07-12 22:46,HL8003,KAL408,YBBN,RKSI,91,24,,,,,,,,,
2025-07-12 17:09,HL8025,KAL952,OMDB,RKSI,112,41,,,,,,,,,
2025-07-12 16:45,HL8026,KAL690,VDPP,RKSI,101,37,,,,,,,,,
2025-07-12 15:36,HL8027,KAL196,ZMCK,RKSI,96,31,,,,,,,,,
2025-07-12 11:11,HL8003,KAL407,RKSI,YBBN,104,39,,,87.2,,,,,,
2025-07-12 10:37,HL8027,KAL195,RKSI,ZMCK,99,35,,,87,,,,,,
2025-07-12 10:13,HL8026,KAL689,RKSI,VDPP,102,38,,,86.4,,,,,,
2025-07-12 9:37,HL7720,KAL671,RKSI,WMKK,108,32,,,99.6,,,,,,
2025-07-12 5:47,HL7585,KAL828,ZGSZ,RKSI,96,28,,,,,,,,,
